,iou,dice,precision,recall,f1
epoch_1,"{1: np.float32(0.008088236), 2: np.float32(0.012790698), 3: np.float32(0.010113028), 4: np.float32(0.0), 5: np.float32(0.016229713)}","{1: np.float32(0.01604668), 2: np.float32(0.025258323), 3: np.float32(0.020023556), 4: np.float32(0.0), 5: np.float32(0.03194103)}","{1: np.float32(0.00815822), 2: np.float32(0.012979351), 3: np.float32(0.010397553), 4: np.float32(0.0), 5: np.float32(0.016266266)}","{1: np.float32(0.4852941), 2: np.float32(0.4680851), 3: np.float32(0.26984128), 4: np.float32(0.0), 5: np.float32(0.8783784)}","{1: np.float32(0.016046682), 2: np.float32(0.025258323), 3: np.float32(0.020023556), 4: 0.0, 5: np.float32(0.03194103)}"
epoch_2,"{1: np.float32(0.014411765), 2: np.float32(0.011996801), 3: np.float32(0.015726682), 4: np.float32(0.048742138), 5: np.float32(0.010385756)}","{1: np.float32(0.028414033), 2: np.float32(0.023709167), 3: np.float32(0.030966364), 4: np.float32(0.092953525), 5: np.float32(0.020558003)}","{1: np.float32(0.014492754), 2: np.float32(0.0121555915), 3: np.float32(0.0160221), 4: np.float32(0.054770317), 5: np.float32(0.010468594)}","{1: np.float32(0.7205882), 2: np.float32(0.4787234), 3: np.float32(0.46031746), 4: np.float32(0.3069307), 5: np.float32(0.5675676)}","{1: np.float32(0.028414033), 2: np.float32(0.023709167), 3: np.float32(0.030966364), 4: np.float32(0.09295352), 5: np.float32(0.020558001)}"
